Субъект,Дата,Метка,Сигнал
subject 1,2022-05-11,3.0,[-19391. -18884. -18326. ... -21811. -21664. -21649.]
subject 1,2022-05-11,3.0,[-13601. -13200. -13522. ... -19634. -20098. -20216.]
subject 1,2022-05-11,3.0,[-22496. -22492. -22278. ... -21838. -21638. -21511.]
subject 1,2022-05-11,3.0,[-21172. -21218. -21477. ... -21250. -21484. -21381.]
subject 1,2022-05-11,3.0,[-20177. -20224. -20166. ... -25276. -25220. -25516.]
subject 1,2022-05-11,3.0,[-22901. -22892. -23719. ... -20828. -21326. -21377.]
subject 1,2022-05-11,3.0,[-20155. -18979. -18686. ... -20317. -20356. -20369.]
subject 1,2022-05-11,3.0,[-22415. -22752. -22619. ... -20476. -20877. -20877.]
subject 1,2022-05-11,3.0,[-21281. -20955. -20479. ... -19996. -19814. -19957.]
subject 1,2022-05-11,3.0,[-20764. -21014. -21272. ... -20109. -20239. -20126.]
subject 1,2022-05-11,3.0,[-19554. -19661. -19382. ... -20774. -20519. -20637.]
subject 1,2022-05-11,3.0,[-20386. -19783. -19439. ... -20767. -20681. -20928.]
subject 1,2022-05-11,3.0,[-21993. -22170. -22060. ... -21507. -21370. -21777.]
subject 1,2022-05-11,3.0,[-21216. -21185. -21071. ... -22703. -22924. -22887.]
subject 1,2022-05-11,3.0,[-22624. -22311. -22493. ... -21713. -21476. -21895.]
subject 1,2022-05-11,3.0,[-20012. -20342. -21030. ... -22703. -22334. -22283.]
subject 1,2022-05-11,3.0,[-22490. -22862. -23012. ... -22362. -22535. -23201.]
subject 1,2022-05-11,3.0,[-22691. -22628. -22782. ... -20412. -20446. -20396.]
subject 1,2022-05-11,3.0,[-21912. -21430. -21116. ... -22669. -22689. -22390.]
subject 1,2022-05-11,3.0,[-22663. -23112. -22810. ... -22027. -21592. -21797.]
subject 1,2022-05-11,3.0,[-22162. -22201. -22522. ... -24517. -24530. -24066.]
subject 1,2022-05-11,3.0,[-23722. -23645. -23817. ... -24327. -24094. -24216.]
subject 1,2022-05-11,3.0,[-23042. -22996. -23305. ... -22777. -22998. -23232.]
subject 1,2022-05-11,3.0,[-22062. -22081. -22304. ... -25586. -25564. -25751.]
subject 1,2022-05-11,3.0,[-24456. -24267. -23672. ... -24498. -24214. -23983.]
subject 1,2022-05-11,3.0,[-23676. -23452. -23268. ... -21894. -21916. -22062.]
subject 1,2022-05-11,3.0,[-20412. -20239. -20533. ... -22265. -22044. -22051.]
subject 1,2022-05-11,3.0,[-19664. -19832. -20022. ... -22811. -22756. -22666.]
subject 1,2022-05-11,3.0,[-20930. -20887. -20949. ... -22417. -22487. -22385.]
subject 1,2022-05-11,3.0,[-22942. -22601. -21139. ... -22709. -22385. -22394.]
subject 1,2022-05-11,3.0,[-22884. -22929. -23021. ... -20746. -20995. -21269.]
subject 1,2022-05-11,3.0,[-21420. -21806. -21899. ... -30887. -30661. -30329.]
subject 1,2022-05-11,3.0,[-27498. -27575. -27781. ... -20966. -21395. -21319.]
subject 1,2022-05-11,3.0,[-21023. -20482. -20769. ... -20898. -20527. -20462.]
subject 1,2022-05-11,3.0,[-20605. -20642. -20752. ... -20756. -20961. -21604.]
subject 1,2022-05-11,3.0,[-21677. -21629. -21591. ... -21059. -21064. -21248.]
subject 1,2022-05-11,3.0,[-21834. -22091. -21930. ... -22238. -22376. -22538.]
subject 1,2022-05-11,3.0,[-19305. -20004. -20296. ... -21490. -21243. -20999.]
subject 1,2022-05-11,3.0,[-19859. -19589. -19456. ... -21781. -21707. -21755.]
subject 1,2022-05-11,3.0,[-22830. -22370. -21879. ... -21644. -21437. -21807.]
subject 1,2022-05-11,3.0,[-25066. -25299. -24968. ... -21314. -21022. -21101.]
subject 1,2022-05-11,3.0,[-20999. -20131. -19475. ... -22442. -22527. -22264.]
subject 1,2022-05-11,3.0,[-22761. -23056. -23106. ... -22659. -22160. -22397.]
subject 1,2022-05-11,3.0,[-20631. -20458. -20238. ... -20214. -19789. -19745.]
subject 1,2022-05-11,3.0,[-20333. -20339. -20461. ... -16711. -16749. -16879.]
subject 1,2022-05-11,3.0,[-18428. -18120. -17730. ... -20709. -20509. -20660.]
subject 1,2022-05-11,3.0,[-20423. -20283. -20054. ... -19486. -20027. -20049.]
subject 1,2022-05-11,3.0,[-20333. -20484. -20646. ... -20642. -20581. -20666.]
subject 1,2022-05-11,3.0,[-19997. -20139. -19921. ... -22489. -22391. -21929.]
subject 1,2022-05-11,3.0,[-21886. -21920. -22071. ... -19780. -19448. -19334.]
subject 1,2022-05-11,3.0,[-19890. -19924. -19815. ... -19742. -19857. -19740.]
subject 1,2022-05-11,3.0,[-19652. -19801. -19795. ... -21014. -20871. -20512.]
subject 1,2022-05-11,3.0,[-21196. -21075. -21214. ... -20544. -20282. -20175.]
subject 0,2022-05-11,3.0,[-17337. -17362. -17241. ... -17800. -18001. -18105.]
subject 0,2022-05-11,3.0,[-15230. -15276. -15383. ... -16999. -16916. -17074.]
subject 0,2022-05-11,3.0,[-15751. -16022. -16554. ... -16727. -16453. -16746.]
subject 0,2022-05-11,3.0,[-20361. -20169. -19634. ... -18228. -17496. -17574.]
subject 0,2022-05-11,3.0,[-17484. -17754. -18577. ... -17174. -17404. -17493.]
subject 0,2022-05-11,3.0,[-16359. -16117. -16302. ... -16979. -17077. -17505.]
subject 0,2022-05-11,3.0,[-17669. -17864. -17236. ... -15912. -16089. -16389.]
subject 0,2022-05-11,3.0,[-16855. -17466. -17221. ... -18013. -18492. -18771.]
subject 0,2022-05-11,3.0,[-16896. -16911. -16676. ... -16815. -16531. -16339.]
subject 0,2022-05-11,3.0,[-17397. -16249. -15921. ... -15320. -14847. -14437.]
subject 0,2022-05-11,3.0,[-15036. -14951. -15108. ... -15466. -15361. -15671.]
subject 0,2022-05-11,3.0,[-18327. -17625. -16640. ... -18185. -18674. -21191.]
subject 0,2022-05-11,3.0,[-16174. -16767. -17161. ... -15782. -16184. -16866.]
subject 0,2022-05-11,3.0,[-17464. -17682. -17940. ... -17899. -17928. -17928.]
subject 0,2022-05-11,3.0,[-16887. -15961. -15807. ... -18137. -17495. -17104.]
subject 0,2022-05-11,3.0,[-15291. -15411. -15789. ... -18184. -18554. -21096.]
subject 0,2022-05-11,3.0,[-17509. -17546. -17936. ... -17491. -17462. -17596.]
subject 0,2022-05-11,3.0,[-15691. -15424. -15364. ... -17196. -17386. -17810.]
subject 0,2022-05-11,3.0,[-18708. -17974. -17389. ... -19569. -19251. -18952.]
subject 0,2022-05-11,3.0,[-17542. -17926. -18228. ... -19756. -19846. -20273.]
subject 0,2022-05-11,3.0,[-18226. -18250. -18066. ... -34810. -35027. -35577.]
subject 0,2022-05-11,3.0,[-25655. -25411. -25181. ... -22224. -21990. -21160.]
subject 0,2022-05-14,3.0,[-20619. -20837. -20662. ...  -7671.  -7796.  -7801.]
subject 0,2022-05-14,3.0,[ -7191.  -7155.  -7528. ... -19356. -19186. -20097.]
subject 0,2022-05-14,3.0,[-19819. -19487. -19321. ... -19540. -19427. -18887.]
subject 0,2022-05-14,3.0,[-19387. -19204. -19465. ... -44674. -44997. -44571.]
subject 0,2022-05-14,3.0,[-40300. -39899. -39897. ... -33596. -33570. -32954.]
subject 0,2022-05-14,3.0,[-35425. -34971. -34934. ... -12407. -11981. -11915.]
subject 0,2022-05-14,3.0,[-11802. -12035. -12092. ... -11895. -11802. -11934.]
subject 0,2022-05-14,3.0,[-12987. -12442. -12322. ... -36671. -36816. -37116.]
subject 0,2022-05-14,3.0,[-37439. -37611. -37679. ...  -2991.  -3183.  -3072.]
subject 0,2022-05-14,3.0,[ -3154.  -3005.  -3153. ... -27484. -27709. -27661.]
subject 0,2022-05-14,3.0,[-27177. -26939. -27126. ...  12359.  11858.  11918.]
subject 0,2022-05-14,3.0,[13157. 12976. 12359. ...  1598.  1838.  1779.]
subject 0,2022-05-14,3.0,[ -1599.  -1987.  -2064. ... -48117. -48083. -47959.]
subject 0,2022-05-14,3.0,[ -44813.  -44652.  -44614. ...  -98119.  -99891. -101277.]
subject 0,2022-05-14,3.0,[-135432. -131456. -131058. ...   -8101.   -7780.   -7526.]
subject 0,2022-05-14,3.0,[ -8112.  -8132.  -8047. ... -11889. -12097. -12009.]
subject 0,2022-05-14,3.0,[-11451. -11286. -11135. ... -33811. -33382. -33586.]
subject 0,2022-05-14,3.0,[-31879. -31998. -31779. ... -22754. -22831. -22792.]
subject 0,2022-05-14,3.0,[-22586. -22366. -22486. ... -60284. -59816. -59632.]
subject 0,2022-05-14,3.0,[-49817. -49755. -49496. ... -12095. -12070. -12196.]
subject 0,2022-05-14,3.0,[-12002. -11898. -11652. ... -34199. -34268. -34270.]
subject 0,2022-05-14,3.0,[-33396. -33288. -33355. ...  -6017.  -6280.  -6150.]
subject 0,2022-05-14,3.0,[-5656. -5541. -5637. ... -8517. -8154. -7562.]
subject 0,2022-05-14,3.0,[ -8137.  -8096.  -8501. ... -18425. -18535. -18585.]
subject 0,2022-05-14,3.0,[-18108. -18107. -17796. ... -16461. -16359. -16166.]
subject 0,2022-05-14,3.0,[-16252. -16576. -16551. ... -11190. -11334. -11404.]
subject 0,2022-05-14,3.0,[-11897. -11611. -11258. ... -30756. -30726. -30612.]
subject 0,2022-05-14,3.0,[-30222. -30271. -30167. ... -33873. -33701. -33711.]
subject 0,2022-05-14,3.0,[-28656. -28178. -27887. ... -35398. -35604. -35849.]
subject 0,2022-05-14,3.0,[-17418. -17215. -16986. ... -31720. -31626. -31507.]
subject 0,2022-05-14,3.0,[-36397. -36359. -36207. ... -30877. -30924. -30849.]
subject 0,2022-05-14,3.0,[-37437. -37537. -37913. ... -25194. -25062. -25027.]
subject 0,2022-05-14,3.0,[-23042. -23155. -23392. ... -22212. -22087. -22121.]
subject 0,2022-05-14,3.0,[-22239. -22021. -21906. ... -23013. -23178. -23076.]
subject 0,2022-05-14,3.0,[-23113. -23155. -23335. ... -34445. -34309. -34379.]
subject 0,2022-05-14,3.0,[-34823. -35135. -34846. ... -31185. -31155. -31351.]
subject 0,2022-05-14,3.0,[-29322. -29462. -28458. ... -35396. -35393. -35486.]
subject 0,2022-05-14,3.0,[-39461. -39750. -39849. ... -33652. -33389. -33297.]
subject 0,2022-05-14,3.0,[-33150. -33135. -33426. ... -27425. -27731. -27792.]
subject 0,2022-05-14,3.0,[-28130. -28157. -27921. ... -19523. -19084. -18723.]
subject 0,2022-05-14,3.0,[-18401. -18306. -18451. ... -19482. -19791. -20187.]
subject 0,2022-05-14,3.0,[-18941. -19189. -19544. ... -31915. -31693. -31351.]
subject 0,2022-05-14,3.0,[-30848. -31121. -30981. ... -26833. -27096. -27204.]
subject 0,2022-05-14,3.0,[-27500. -27452. -27174. ... -31729. -31780. -31654.]
subject 0,2022-05-14,3.0,[-30439. -30384. -30419. ... -29253. -29467. -29156.]
subject 0,2022-05-14,3.0,[-29669. -29574. -29070. ... -29660. -29679. -29936.]
subject 0,2022-05-14,3.0,[-34237. -34047. -34185. ... -22015. -22217. -22041.]
subject 0,2022-05-14,3.0,[-20190. -20188. -20769. ... -27703. -27736. -27944.]
subject 0,2022-05-14,3.0,[-26849. -26663. -26696. ... -25396. -25349. -25442.]
subject 0,2022-05-14,3.0,[-24693. -24343. -24432. ... -28449. -28553. -28545.]
subject 0,2022-05-14,3.0,[-31351. -35027. -30842. ... -17661. -17405. -16937.]
subject 0,2022-05-14,3.0,[-17625. -17645. -17604. ... -27614. -27450. -27709.]
subject 0,2022-05-14,3.0,[-27913. -27884. -27781. ... -30718. -30738. -30646.]
subject 0,2022-05-14,3.0,[-31832. -31034. -31242. ... -36216. -36217. -35811.]
subject 0,2022-05-14,3.0,[-36962. -36520. -36434. ... -29843. -29939. -30056.]
subject 0,2022-05-14,3.0,[-30021. -29556. -29573. ... -23999. -24461. -24471.]
subject 0,2022-05-14,3.0,[-24222. -24416. -23986. ... -18747. -18697. -18374.]
subject 0,2022-05-14,3.0,[-18324. -18571. -18393. ... -23027. -22879. -22544.]
subject 0,2022-05-14,3.0,[-25361. -25198. -25061. ... -27782. -27792. -27630.]
subject 0,2022-05-28,3.0,[-18854. -19644. -20482. ... -17888. -18235. -18472.]
subject 0,2022-05-28,3.0,[-20362. -20874. -21211. ... -17441. -17304. -17627.]
subject 0,2022-05-28,3.0,[-21959. -21324. -20357. ... -20156. -20969. -21887.]
subject 0,2022-05-28,3.0,[-19096. -19230. -19361. ... -19156. -19372. -19382.]
subject 0,2022-05-28,3.0,[-19042. -19601. -19541. ... -19227. -18801. -18682.]
subject 0,2022-05-28,3.0,[-20639. -20996. -22775. ... -18491. -18219. -17951.]
subject 0,2022-05-28,3.0,[-19131. -19492. -20071. ... -16272. -16719. -17336.]
subject 0,2022-05-28,3.0,[-19989. -19600. -19487. ... -19161. -19301. -19372.]
subject 0,2022-05-28,3.0,[-16646. -16346. -16314. ... -19016. -18179. -17376.]
subject 0,2022-05-28,3.0,[-20187. -20304. -20079. ... -18087. -18528. -19336.]
subject 0,2022-05-28,3.0,[-19386. -19064. -18986. ... -19701. -19790. -19356.]
subject 0,2022-05-28,3.0,[-17082. -16582. -16406. ... -19369. -19065. -18454.]
subject 0,2022-05-28,3.0,[-16559. -16329. -16102. ... -19804. -20029. -19758.]
subject 0,2022-05-28,3.0,[-19553. -19106. -18350. ... -19584. -19816. -19681.]
subject 0,2022-05-28,3.0,[-16490. -16772. -16509. ... -19594. -19465. -19017.]
subject 0,2022-05-28,3.0,[-16614. -16419. -16113. ... -18749. -18066. -17371.]
subject 0,2022-05-28,3.0,[-16144. -16176. -16582. ... -16741. -16094. -15856.]
subject 0,2022-05-28,3.0,[-17824. -18370. -18941. ... -16044. -16500. -17510.]
subject 0,2022-05-28,3.0,[-24093. -19227. -18997. ... -16114. -16636. -17212.]
subject 0,2022-05-28,3.0,[-17981. -18475. -19176. ... -16473. -16357. -16829.]
subject 0,2022-05-28,3.0,[-17815. -18982. -19735. ... -16876. -16588. -16374.]
subject 0,2022-05-28,3.0,[-16479. -16726. -16688. ... -17321. -17091. -16827.]
subject 0,2022-05-28,3.0,[-15830. -16801. -16892. ... -16527. -16410. -16413.]
subject 0,2022-05-28,3.0,[-16584. -16306. -16149. ... -18386. -17735. -17048.]
subject 0,2022-05-28,3.0,[-16711. -16889. -16563. ... -18956. -18203. -17461.]
subject 0,2022-05-28,3.0,[-17723. -17587. -17470. ... -16598. -16543. -16301.]
subject 0,2022-05-28,3.0,[-17383. -17940. -18600. ... -15984. -16063. -16046.]
subject 0,2022-05-28,3.0,[-16240. -16327. -16582. ... -18788. -18349. -17624.]
subject 0,2022-05-28,3.0,[-17344. -16988. -17138. ... -19729. -19241. -18577.]
subject 0,2022-05-28,3.0,[-16564. -16111. -16167. ... -19676. -20259. -19524.]
subject 0,2022-05-28,3.0,[-15158. -14932. -14979. ... -17923. -17307. -17408.]
subject 0,2022-05-28,3.0,[-17229. -17887. -18273. ... -16606. -16223. -16440.]
subject 0,2022-05-28,3.0,[-17382. -17167. -16932. ... -19629. -19424. -19156.]
subject 0,2022-05-28,3.0,[-16506. -17099. -17591. ... -19184. -19264. -18938.]
subject 0,2022-05-28,3.0,[-21225. -21184. -20768. ... -17570. -17732. -18161.]
subject 0,2022-05-28,3.0,[-20890. -20761. -20967. ... -17185. -17071. -17372.]
subject 0,2022-05-28,3.0,[-19464. -19203. -18529. ... -19851. -19966. -20237.]
subject 0,2022-05-28,3.0,[-18431. -19025. -19898. ... -18511. -18769. -18990.]
subject 0,2022-05-28,3.0,[-19802. -20264. -20060. ... -18966. -18792. -18907.]
subject 0,2022-05-28,3.0,[-20362. -20653. -21122. ... -18986. -18896. -19357.]
subject 0,2022-05-28,3.0,[-19101. -19678. -20129. ... -17047. -17126. -17559.]
subject 0,2022-05-28,3.0,[-19226. -19247. -19004. ... -19196. -19554. -19782.]
subject 0,2022-05-28,3.0,[-18696. -19051. -19091. ... -15616. -15763. -16097.]
subject 0,2022-05-28,3.0,[-17372. -17156. -16462. ... -19852. -19534. -18731.]
subject 0,2022-05-28,3.0,[-19609. -19774. -19767. ... -19052. -19599. -19841.]
subject 0,2022-05-28,3.0,[-18916. -19412. -19611. ... -18426. -18282. -17835.]
subject 0,2022-05-28,3.0,[-18343. -18132. -17808. ... -19107. -18655. -18354.]
subject 0,2022-05-28,3.0,[-17414. -17939. -18209. ... -20040. -19666. -19556.]
subject 0,2022-05-28,3.0,[-19210. -19197. -19483. ... -17059. -17519. -18354.]
subject 0,2022-05-28,3.0,[-17452. -18019. -18552. ... -17524. -17492. -17281.]
subject 0,2022-05-28,3.0,[-17993. -18699. -19199. ... -17523. -17660. -18104.]
subject 0,2022-05-28,3.0,[-17201. -17497. -17676. ... -17853. -17971. -16750.]
subject 0,2022-05-28,3.0,[-19933. -17413. -17736. ... -17573. -17284. -17081.]
subject 0,2022-05-28,3.0,[-19082. -19084. -27019. ... -18076. -18264. -18337.]
subject 0,2022-05-28,3.0,[-16077. -15911. -16233. ... -19576. -19723. -19245.]
subject 0,2022-05-28,3.0,[-18555. -19158. -18980. ... -16264. -16362. -16419.]
subject 0,2022-05-28,3.0,[-15700. -15631. -15703. ... -15216. -15065. -14862.]
subject 0,2022-05-28,3.0,[-17221. -17129. -17466. ... -19310. -19495. -19466.]
subject 0,2022-05-28,3.0,[-19832. -19346. -18757. ... -19683. -19641. -19547.]
subject 0,2022-05-28,3.0,[-18197. -18437. -18304. ... -18932. -18674. -17976.]
subject 0,2022-05-28,3.0,[-18677. -18142. -18060. ... -17682. -17952. -18300.]
subject 0,2022-05-28,3.0,[-17671. -17694. -17649. ... -19000. -18611. -18557.]
subject 0,2022-05-28,3.0,[-21020. -20714. -21044. ... -20377. -20810. -20947.]
subject 0,2022-05-28,3.0,[-20360. -20189. -20183. ... -19064. -19565. -19763.]
subject 0,2022-05-28,3.0,[-18963. -19140. -19422. ... -17111. -17489. -17605.]
subject 0,2022-05-28,3.0,[-18879. -18843. -18521. ... -18699. -19021. -18757.]
subject 0,2022-05-28,3.0,[-18007. -17961. -17684. ... -20452. -20059. -19484.]
subject 0,2022-05-28,3.0,[-20713. -20997. -21291. ... -17328. -17287. -17721.]
subject 0,2022-05-28,3.0,[-19096. -19336. -19561. ... -17136. -16977. -17251.]
subject 0,2022-05-28,3.0,[-17261. -17804. -18311. ... -18284. -17689. -17830.]
subject 0,2022-05-28,3.0,[-17820. -17922. -17765. ... -18436. -18414. -18029.]
subject 0,2022-05-28,3.0,[-19050. -19779. -20012. ... -17857. -17917. -18078.]
subject 0,2022-05-28,3.0,[-18654. -18322. -17896. ... -18395. -18849. -18432.]
subject 0,2022-05-28,3.0,[-17999. -18284. -18592. ... -16957. -17024. -17239.]
subject 0,2022-05-28,3.0,[-19634. -19067. -19144. ... -17919. -18279. -18467.]
subject 0,2022-05-28,3.0,[-17457. -17270. -17630. ... -18958. -18714. -18925.]
subject 0,2022-05-28,3.0,[-16812. -16938. -17198. ... -18368. -18004. -17774.]
subject 0,2022-05-28,3.0,[-15104. -15606. -16262. ... -20434. -20538. -20002.]
subject 0,2022-05-28,3.0,[-18239. -18606. -18846. ... -16086. -16472. -16894.]
subject 0,2022-05-28,3.0,[-19011. -18774. -18499. ... -19907. -20310. -20477.]
subject 0,2022-05-28,3.0,[-20166. -20833. -20730. ... -19002. -19512. -19807.]
subject 0,2022-05-28,3.0,[-17557. -17821. -18071. ... -17606. -17499. -17417.]
subject 0,2022-05-28,3.0,[-19577. -19600. -19620. ... -17882. -18134. -18317.]
subject 0,2022-05-28,3.0,[-17274. -17089. -16882. ... -19623. -19768. -19206.]
subject 0,2022-05-28,3.0,[-17371. -17232. -17356. ... -19057. -18719. -18651.]
subject 0,2022-05-28,3.0,[-18171. -17731. -17524. ... -19856. -19996. -20181.]
subject 0,2022-05-28,3.0,[-19875. -19760. -19569. ... -19233. -19247. -19211.]
subject 0,2022-05-28,3.0,[-19324. -19237. -19272. ... -18228. -18189. -18434.]
subject 0,2022-05-28,3.0,[-18482. -18338. -18111. ... -20194. -19934. -19784.]
subject 0,2022-05-28,3.0,[-18572. -19124. -19686. ... -18522. -18012. -18271.]
subject 0,2022-05-28,3.0,[-18822. -19027. -18946. ... -16815. -16887. -16857.]
subject 0,2022-05-28,3.0,[-17729. -17744. -17942. ... -18277. -17920. -17824.]
subject 0,2022-05-29,3.0,[-14261. -14381. -14481. ... -14989. -14787. -14384.]
subject 0,2022-05-29,3.0,[-15417. -16004. -16203. ... -15795. -15479. -14807.]
subject 0,2022-05-29,3.0,[-15112. -14577. -14856. ... -17640. -17644. -16882.]
subject 0,2022-05-29,3.0,[-15286. -15377. -15329. ... -18614. -18429. -16551.]
subject 0,2022-05-29,3.0,[-19769. -19773. -20224. ... -19257. -18267. -17697.]
subject 0,2022-05-29,3.0,[-20666. -20526. -20466. ... -19097. -18717. -17967.]
subject 0,2022-05-29,3.0,[-18469. -18502. -18582. ... -20590. -20233. -19969.]
subject 0,2022-05-29,3.0,[-19567. -19861. -20009. ... -18974. -18351. -17834.]
subject 0,2022-05-29,3.0,[-20901. -21376. -20356. ... -18380. -17480. -16694.]
subject 0,2022-05-29,3.0,[-27149. -27779. -28355. ... -14652. -14955. -15404.]
subject 0,2022-05-29,3.0,[-15500. -15311. -15735. ... -23584. -23394. -22961.]
subject 0,2022-05-29,3.0,[-17486. -17752. -18323. ... -17888. -17018. -16459.]
subject 0,2022-05-29,3.0,[-20687. -20127. -20239. ... -18024. -17577. -17472.]
subject 0,2022-05-29,3.0,[-17458. -17855. -18383. ... -16531. -15771. -14926.]
subject 0,2022-05-29,3.0,[-18284. -17866. -18105. ... -15920. -15357. -14528.]
subject 0,2022-05-29,3.0,[-13557. -13711. -14192. ... -19091. -17509. -16624.]
subject 0,2022-05-29,3.0,[-18843. -18626. -19002. ... -17897. -17236. -16662.]
subject 0,2022-05-29,3.0,[-17874. -17848. -18056. ... -17249. -17047. -16682.]
subject 0,2022-05-29,3.0,[-20380. -20871. -21239. ... -14097. -14476. -14417.]
subject 0,2022-05-29,3.0,[-18866. -18431. -17777. ... -17686. -18211. -18122.]
subject 0,2022-05-29,3.0,[-16044. -16627. -17310. ... -15162. -15511. -16029.]
subject 0,2022-05-29,3.0,[-16463. -17001. -17294. ... -16966. -16449. -16096.]
subject 0,2022-05-29,3.0,[-17129. -16932. -16901. ... -16504. -15724. -14677.]
subject 0,2022-05-29,3.0,[-15287. -15750. -16094. ... -13939. -13754. -14229.]
subject 0,2022-05-29,3.0,[-16083. -16266. -16439. ... -25368. -21029. -19566.]
subject 0,2022-05-29,3.0,[-19114. -19081. -19893. ... -20381. -19941. -19551.]
subject 0,2022-05-29,3.0,[-24822. -24099. -23462. ... -22665. -22130. -21651.]
subject 0,2022-05-29,3.0,[-20148. -19604. -19162. ... -14036. -15241. -15254.]
subject 0,2022-05-29,3.0,[-12676. -12894. -13424. ... -16736. -15868. -15296.]
subject 0,2022-05-29,3.0,[-14801. -15261. -15232. ... -18473. -17737. -17149.]
subject 0,2022-05-29,3.0,[-19500. -20144. -20207. ... -18181. -18409. -18551.]
subject 0,2022-05-29,3.0,[-18107. -18269. -18159. ... -15696. -15558. -14682.]
subject 0,2022-05-29,3.0,[-14479. -14791. -15577. ... -15539. -15109. -14891.]
subject 0,2022-05-29,3.0,[-16776. -16379. -16259. ... -19280. -18726. -18359.]
subject 0,2022-05-29,3.0,[-17502. -17942. -18493. ... -14504. -14689. -15168.]
subject 0,2022-05-29,3.0,[-15331. -14887. -14768. ... -16398. -16397. -16353.]
subject 0,2022-05-29,3.0,[-14366. -14411. -14894. ... -16487. -15081. -14134.]
subject 0,2022-05-29,3.0,[-17607. -17435. -17494. ... -15178. -15397. -15170.]
subject 0,2022-05-29,3.0,[-14813. -15117. -15869. ... -16435. -16248. -15510.]
subject 0,2022-05-29,3.0,[-15314. -15558. -16067. ... -17057. -16982. -16925.]
subject 0,2022-05-29,3.0,[-15697. -15767. -15290. ... -15177. -15525. -15831.]
subject 0,2022-05-29,3.0,[-17104. -17294. -17356. ... -17366. -17255. -17691.]
subject 0,2022-05-29,3.0,[-17289. -17464. -17775. ... -17468. -18816. -22572.]
subject 0,2022-05-29,3.0,[-17790. -17414. -17799. ... -18180. -17557. -16983.]
subject 0,2022-05-29,3.0,[-18213. -18697. -18710. ... -14436. -14799. -15136.]
subject 0,2022-05-29,3.0,[-14871. -14972. -15117. ... -16478. -16092. -15761.]
subject 0,2022-05-29,3.0,[-17711. -17225. -16852. ... -16436. -16991. -17592.]
subject 0,2022-05-29,3.0,[-17640. -16707. -20551. ... -17577. -16746. -15939.]
subject 0,2022-05-29,3.0,[-17275. -16746. -16329. ... -19069. -19856. -20274.]
subject 0,2022-05-29,3.0,[-16071. -15864. -16006. ... -21006. -20923. -19994.]
subject 0,2022-05-29,3.0,[-20190. -19530. -19144. ... -24171. -22034. -21398.]
subject 0,2022-05-29,3.0,[-22142. -22442. -22932. ... -19560. -19161. -18819.]
subject 0,2022-05-29,3.0,[-18294. -18507. -18906. ... -19141. -18802. -18259.]
subject 0,2022-05-29,3.0,[-19886. -19376. -18787. ... -18597. -18435. -18283.]
subject 0,2022-05-29,3.0,[-16849. -17033. -17594. ... -17970. -17531. -17130.]
subject 0,2022-05-29,3.0,[-16865. -16655. -16619. ... -16610. -16219. -15771.]
subject 0,2022-05-29,3.0,[-15663. -15681. -15671. ... -17193. -17134. -16994.]
subject 0,2022-05-29,3.0,[-16492. -16716. -17239. ... -17008. -16716. -16576.]
subject 0,2022-05-29,3.0,[-16313. -16604. -17284. ... -20728. -21009. -20385.]
subject 0,2022-05-29,3.0,[-18203. -17589. -17401. ... -20125. -20228. -19794.]
subject 0,2022-05-29,3.0,[-19495. -19348. -19498. ... -19657. -20582. -21064.]
subject 0,2022-05-29,3.0,[-20894. -20590. -20579. ... -21628. -22188. -22717.]
subject 0,2022-05-29,3.0,[-26587. -26674. -26948. ... -20522. -20196. -19825.]
subject 0,2022-05-29,3.0,[-20181. -19747. -19349. ... -21594. -21388. -20619.]
subject 0,2022-05-29,3.0,[-18871. -18814. -18883. ... -22149. -21595. -21506.]
subject 0,2022-05-29,3.0,[-28154. -27858. -21978. ... -18918. -19049. -18926.]
subject 0,2022-05-29,3.0,[-16585. -16878. -16642. ... -17192. -20862. -19992.]
subject 0,2022-05-29,3.0,[-16259. -16387. -16308. ... -17699. -17516. -17387.]
subject 0,2022-05-29,3.0,[-17960. -17919. -17931. ... -20395. -20539. -20501.]
subject 0,2022-05-29,3.0,[-16756. -17229. -17041. ... -17156. -17315. -16687.]
subject 0,2022-05-29,3.0,[-20756. -20867. -20674. ... -35815. -35458. -35359.]
subject 0,2022-05-29,3.0,[-37797. -37369. -36951. ... -16457. -16642. -16769.]
subject 0,2022-05-29,3.0,[-17489. -17167. -16961. ... -18653. -18819. -18889.]
subject 0,2022-05-29,3.0,[-17242. -17412. -17359. ... -37674. -37618. -38166.]
subject 0,2022-05-29,3.0,[-36680. -36657. -36959. ... -18682. -19163. -17737.]
subject 0,2022-05-29,3.0,[-16744. -16684. -16524. ... -17081. -16922. -17481.]
subject 0,2022-05-29,3.0,[-18280. -18121. -18281. ... -20276. -20251. -20402.]
subject 0,2022-05-29,3.0,[-19418. -19151. -18836. ... -36806. -36479. -36110.]
subject 0,2022-05-29,3.0,[-39544. -39270. -39105. ... -14993. -15309. -15052.]
subject 0,2022-05-29,3.0,[-13661. -13757. -14184. ... -16731. -16482. -16461.]
subject 0,2022-05-29,3.0,[-17227. -17240. -17391. ... -20693. -20423. -20242.]
subject 0,2022-05-29,3.0,[-20143. -20208. -20283. ... -30274. -30214. -30304.]
subject 0,2022-05-29,3.0,[-33167. -33341. -33825. ... -15238. -14933. -14866.]
subject 0,2022-05-29,3.0,[-17623. -17229. -17016. ... -15656. -16086. -16786.]
